Input Board,decision,Output Board,Input Graph,Output Graph
X  OO  XX,6,X  OOO XX,"[[1, 0, 0], [2, 2, 0], [0, 1, 1]]","[[1, 0, 0], [2, 2, 2], [0, 1, 1]]"
O  XXO X ,2,OO XXO X ,"[[2, 0, 0], [1, 1, 2], [0, 1, 0]]","[[2, 2, 0], [1, 1, 2], [0, 1, 0]]"
XOX XXOO ,9,XOX XXOOO,"[[1, 2, 1], [0, 1, 1], [2, 2, 0]]","[[1, 2, 1], [0, 1, 1], [2, 2, 2]]"
  X X  O ,7,  X X OO ,"[[0, 0, 1], [0, 1, 0], [0, 2, 0]]","[[0, 0, 1], [0, 1, 0], [2, 2, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
 O XXOX  ,1,OO XXOX  ,"[[0, 2, 0], [1, 1, 2], [1, 0, 0]]","[[2, 2, 0], [1, 1, 2], [1, 0, 0]]"
  O O  XX,7,  O O XXX,"[[0, 0, 2], [0, 2, 0], [0, 1, 1]]","[[0, 0, 2], [0, 2, 0], [1, 1, 1]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
X  OO XXO,6,X  OOXXXO,"[[1, 0, 0], [2, 2, 0], [1, 1, 2]]","[[1, 0, 0], [2, 2, 1], [1, 1, 2]]"
  XXOX  O,1,O XXOX  O,"[[0, 0, 1], [1, 2, 1], [0, 0, 2]]","[[2, 0, 1], [1, 2, 1], [0, 0, 2]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
     XXOO,5,    XXXOO,"[[0, 0, 0], [0, 0, 1], [1, 2, 2]]","[[0, 0, 0], [0, 1, 1], [1, 2, 2]]"
OXXOO  X ,6,OXXOOX X ,"[[2, 1, 1], [2, 2, 0], [0, 1, 0]]","[[2, 1, 1], [2, 2, 1], [0, 1, 0]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
 OX  XO  ,9, OX  XO X,"[[0, 2, 1], [0, 0, 1], [2, 0, 0]]","[[0, 2, 1], [0, 0, 1], [2, 0, 1]]"
O   O X X,8,O   O XXX,"[[2, 0, 0], [0, 2, 0], [1, 0, 1]]","[[2, 0, 0], [0, 2, 0], [1, 1, 1]]"
 O  O  XX,7, O  O XXX,"[[0, 2, 0], [0, 2, 0], [0, 1, 1]]","[[0, 2, 0], [0, 2, 0], [1, 1, 1]]"
  XXX  OO,7,  XXX OOO,"[[0, 0, 1], [1, 1, 0], [0, 2, 2]]","[[0, 0, 1], [1, 1, 0], [2, 2, 2]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
 XXO     ,1,OXXO     ,"[[0, 1, 1], [2, 0, 0], [0, 0, 0]]","[[2, 1, 1], [2, 0, 0], [0, 0, 0]]"
 XO O X  ,1,XXO O X  ,"[[0, 1, 2], [0, 2, 0], [1, 0, 0]]","[[1, 1, 2], [0, 2, 0], [1, 0, 0]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
XX XO OO ,3,XXXXO OO ,"[[1, 1, 0], [1, 2, 0], [2, 2, 0]]","[[1, 1, 1], [1, 2, 0], [2, 2, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
  XX OXOO,1,X XX OXOO,"[[0, 0, 1], [1, 0, 2], [1, 2, 2]]","[[1, 0, 1], [1, 0, 2], [1, 2, 2]]"
  OOOXX X,8,  OOOXXXX,"[[0, 0, 2], [2, 2, 1], [1, 0, 1]]","[[0, 0, 2], [2, 2, 1], [1, 1, 1]]"
  O X O X,1,X O X O X,"[[0, 0, 2], [0, 1, 0], [2, 0, 1]]","[[1, 0, 2], [0, 1, 0], [2, 0, 1]]"
XX XOOO X,3,XXOXOOO X,"[[1, 1, 0], [1, 2, 2], [2, 0, 1]]","[[1, 1, 2], [1, 2, 2], [2, 0, 1]]"
OO XXOOXX,3,OOXXXOOXX,"[[2, 2, 0], [1, 1, 2], [2, 1, 1]]","[[2, 2, 1], [1, 1, 2], [2, 1, 1]]"
 OXOX    ,7, OXOX X  ,"[[0, 2, 1], [2, 1, 0], [0, 0, 0]]","[[0, 2, 1], [2, 1, 0], [1, 0, 0]]"
X O XOX  ,9,X O XOX O,"[[1, 0, 2], [0, 1, 2], [1, 0, 0]]","[[1, 0, 2], [0, 1, 2], [1, 0, 2]]"
OXO  X OX,7,OXO  XXOX,"[[2, 1, 2], [0, 0, 1], [0, 2, 1]]","[[2, 1, 2], [0, 0, 1], [1, 2, 1]]"
XXO  OXO ,4,XXOX OXO ,"[[1, 1, 2], [0, 0, 2], [1, 2, 0]]","[[1, 1, 2], [1, 0, 2], [1, 2, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
O XXO  OX,6,O XXOX OX,"[[2, 0, 1], [1, 2, 0], [0, 2, 1]]","[[2, 0, 1], [1, 2, 1], [0, 2, 1]]"
 O XO XXO,1,XO XO XXO,"[[0, 2, 0], [1, 2, 0], [1, 1, 2]]","[[1, 2, 0], [1, 2, 0], [1, 1, 2]]"
X XO OXO ,2,XXXO OXO ,"[[1, 0, 1], [2, 0, 2], [1, 2, 0]]","[[1, 1, 1], [2, 0, 2], [1, 2, 0]]"
XX OXO   ,3,XXOOXO   ,"[[1, 1, 0], [2, 1, 2], [0, 0, 0]]","[[1, 1, 2], [2, 1, 2], [0, 0, 0]]"
    XO OX,1,X   XO OX,"[[0, 0, 0], [0, 1, 2], [0, 2, 1]]","[[1, 0, 0], [0, 1, 2], [0, 2, 1]]"
X O   X O,4,X OX  X O,"[[1, 0, 2], [0, 0, 0], [1, 0, 2]]","[[1, 0, 2], [1, 0, 0], [1, 0, 2]]"
 OOXX XOX,1,OOOXX XOX,"[[0, 2, 2], [1, 1, 0], [1, 2, 1]]","[[2, 2, 2], [1, 1, 0], [1, 2, 1]]"
O XX XXOO,5,O XXOXXOO,"[[2, 0, 1], [1, 0, 1], [1, 2, 2]]","[[2, 0, 1], [1, 2, 1], [1, 2, 2]]"
OX OOX X ,7,OX OOXXX ,"[[2, 1, 0], [2, 2, 1], [0, 1, 0]]","[[2, 1, 0], [2, 2, 1], [1, 1, 0]]"
  X   XOO,5,  X X XOO,"[[0, 0, 1], [0, 0, 0], [1, 2, 2]]","[[0, 0, 1], [0, 1, 0], [1, 2, 2]]"
O XX XXOO,5,O XXOXXOO,"[[2, 0, 1], [1, 0, 1], [1, 2, 2]]","[[2, 0, 1], [1, 2, 1], [1, 2, 2]]"
     XO X,3,  O  XO X,"[[0, 0, 0], [0, 0, 1], [2, 0, 1]]","[[0, 0, 2], [0, 0, 1], [2, 0, 1]]"
 OO X XXO,1,XOO X XXO,"[[0, 2, 2], [0, 1, 0], [1, 1, 2]]","[[1, 2, 2], [0, 1, 0], [1, 1, 2]]"
O      X ,9,O      XX,"[[2, 0, 0], [0, 0, 0], [0, 1, 0]]","[[2, 0, 0], [0, 0, 0], [0, 1, 1]]"
O XX X OO,5,O XXXX OO,"[[2, 0, 1], [1, 0, 1], [0, 2, 2]]","[[2, 0, 1], [1, 1, 1], [0, 2, 2]]"
  XO   OX,6,  XO X OX,"[[0, 0, 1], [2, 0, 0], [0, 2, 1]]","[[0, 0, 1], [2, 0, 1], [0, 2, 1]]"
OX   XOX ,4,OX O XOX ,"[[2, 1, 0], [0, 0, 1], [2, 1, 0]]","[[2, 1, 0], [2, 0, 1], [2, 1, 0]]"
XOXOXXOO ,9,XOXOXXOOX,"[[1, 2, 1], [2, 1, 1], [2, 2, 0]]","[[1, 2, 1], [2, 1, 1], [2, 2, 1]]"
 OO X XOX,1,XOO X XOX,"[[0, 2, 2], [0, 1, 0], [1, 2, 1]]","[[1, 2, 2], [0, 1, 0], [1, 2, 1]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
X O XOX  ,9,X O XOX O,"[[1, 0, 2], [0, 1, 2], [1, 0, 0]]","[[1, 0, 2], [0, 1, 2], [1, 0, 2]]"
XO OX  XO,5,XO OX  XO,"[[1, 2, 0], [2, 1, 0], [0, 1, 2]]","[[1, 2, 0], [2, 1, 0], [0, 1, 2]]"
X  XXOOO ,9,X  XXOOOX,"[[1, 0, 0], [1, 1, 2], [2, 2, 0]]","[[1, 0, 0], [1, 1, 2], [2, 2, 1]]"
 XOO X X ,5, XOOOX X ,"[[0, 1, 2], [2, 0, 1], [0, 1, 0]]","[[0, 1, 2], [2, 2, 1], [0, 1, 0]]"
 XO O  X ,7, XO O XX ,"[[0, 1, 2], [0, 2, 0], [0, 1, 0]]","[[0, 1, 2], [0, 2, 0], [1, 1, 0]]"
O XXXO O ,7,O XXXOXO ,"[[2, 0, 1], [1, 1, 2], [0, 2, 0]]","[[2, 0, 1], [1, 1, 2], [1, 2, 0]]"
 OOXX O X,1,XOOXX O X,"[[0, 2, 2], [1, 1, 0], [2, 0, 1]]","[[1, 2, 2], [1, 1, 0], [2, 0, 1]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
OO OX XX ,3,OOXOX XX ,"[[2, 2, 0], [2, 1, 0], [1, 1, 0]]","[[2, 2, 1], [2, 1, 0], [1, 1, 0]]"
 XXO  XO ,1,OXXO  XO ,"[[0, 1, 1], [2, 0, 0], [1, 2, 0]]","[[2, 1, 1], [2, 0, 0], [1, 2, 0]]"
   OXOX  ,3,  XOXOX  ,"[[0, 0, 0], [2, 1, 2], [1, 0, 0]]","[[0, 0, 1], [2, 1, 2], [1, 0, 0]]"
OX    X  ,3,OXO   X  ,"[[2, 1, 0], [0, 0, 0], [1, 0, 0]]","[[2, 1, 2], [0, 0, 0], [1, 0, 0]]"
 O X     ,5, O XX    ,"[[0, 2, 0], [1, 0, 0], [0, 0, 0]]","[[0, 2, 0], [1, 1, 0], [0, 0, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
OO  XX   ,4,OO XXX   ,"[[2, 2, 0], [0, 1, 1], [0, 0, 0]]","[[2, 2, 0], [1, 1, 1], [0, 0, 0]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
 OX   OXX,6, OX  OOXX,"[[0, 2, 1], [0, 0, 0], [2, 1, 1]]","[[0, 2, 1], [0, 0, 2], [2, 1, 1]]"
XOOX OOXX,5,XOOXXOOXX,"[[1, 2, 2], [1, 0, 2], [2, 1, 1]]","[[1, 2, 2], [1, 1, 2], [2, 1, 1]]"
 X   O   ,9, X   O  X,"[[0, 1, 0], [0, 0, 2], [0, 0, 0]]","[[0, 1, 0], [0, 0, 2], [0, 0, 1]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
XXO  XOOX,5,XXO OXOOX,"[[1, 1, 2], [0, 0, 1], [2, 2, 1]]","[[1, 1, 2], [0, 2, 1], [2, 2, 1]]"
XO   OXOX,4,XO X OXOX,"[[1, 2, 0], [0, 0, 2], [1, 2, 1]]","[[1, 2, 0], [1, 0, 2], [1, 2, 1]]"
XO O X OX,3,XOXO X OX,"[[1, 2, 0], [2, 0, 1], [0, 2, 1]]","[[1, 2, 1], [2, 0, 1], [0, 2, 1]]"
 OOX XX O,1,XOOX XX O,"[[0, 2, 2], [1, 0, 1], [1, 0, 2]]","[[1, 2, 2], [1, 0, 1], [1, 0, 2]]"
XO OO X X,8,XO OO XXX,"[[1, 2, 0], [2, 2, 0], [1, 0, 1]]","[[1, 2, 0], [2, 2, 0], [1, 1, 1]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
O O XXO X,4,O OXXXO X,"[[2, 0, 2], [0, 1, 1], [2, 0, 1]]","[[2, 0, 2], [1, 1, 1], [2, 0, 1]]"
O     XX ,9,O     XXO,"[[2, 0, 0], [0, 0, 0], [1, 1, 0]]","[[2, 0, 0], [0, 0, 0], [1, 1, 2]]"
OO  XX X ,3,OOO XX X ,"[[2, 2, 0], [0, 1, 1], [0, 1, 0]]","[[2, 2, 2], [0, 1, 1], [0, 1, 0]]"
O OX XX O,5,O OXXXX O,"[[2, 0, 2], [1, 0, 1], [1, 0, 2]]","[[2, 0, 2], [1, 1, 1], [1, 0, 2]]"
 XXO XOXO,1,OXXO XOXO,"[[0, 1, 1], [2, 0, 1], [2, 1, 2]]","[[2, 1, 1], [2, 0, 1], [2, 1, 2]]"
OXX O XO ,9,OXX O XOX,"[[2, 1, 1], [0, 2, 0], [1, 2, 0]]","[[2, 1, 1], [0, 2, 0], [1, 2, 1]]"
OX    X  ,1,OX    X  ,"[[2, 1, 0], [0, 0, 0], [1, 0, 0]]","[[2, 1, 0], [0, 0, 0], [1, 0, 0]]"
 OX   OX ,7, OX   XX ,"[[0, 2, 1], [0, 0, 0], [2, 1, 0]]","[[0, 2, 1], [0, 0, 0], [1, 1, 0]]"
O X      ,7,O X   X  ,"[[2, 0, 1], [0, 0, 0], [0, 0, 0]]","[[2, 0, 1], [0, 0, 0], [1, 0, 0]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
  O  XX O,3,  X  XX O,"[[0, 0, 2], [0, 0, 1], [1, 0, 2]]","[[0, 0, 1], [0, 0, 1], [1, 0, 2]]"
O  X  X  ,9,O  X  X O,"[[2, 0, 0], [1, 0, 0], [1, 0, 0]]","[[2, 0, 0], [1, 0, 0], [1, 0, 2]]"
OX XOXOOX,3,OXXXOXOOX,"[[2, 1, 0], [1, 2, 1], [2, 2, 1]]","[[2, 1, 1], [1, 2, 1], [2, 2, 1]]"
X  XOX O ,2,XO XOX O ,"[[1, 0, 0], [1, 2, 1], [0, 2, 0]]","[[1, 2, 0], [1, 2, 1], [0, 2, 0]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
OX  XO   ,8,OX  XO X ,"[[2, 1, 0], [0, 1, 2], [0, 0, 0]]","[[2, 1, 0], [0, 1, 2], [0, 1, 0]]"
O O X   X,2,OXO X   X,"[[2, 0, 2], [0, 1, 0], [0, 0, 1]]","[[2, 1, 2], [0, 1, 0], [0, 0, 1]]"
XO X OO X,5,XO XXOO X,"[[1, 2, 0], [1, 0, 2], [2, 0, 1]]","[[1, 2, 0], [1, 1, 2], [2, 0, 1]]"
  XO  XOX,5,  XOO XOX,"[[0, 0, 1], [2, 0, 0], [1, 2, 1]]","[[0, 0, 1], [2, 2, 0], [1, 2, 1]]"
X OO O XX,5,X OOXO XX,"[[1, 0, 2], [2, 0, 2], [0, 1, 1]]","[[1, 0, 2], [2, 1, 2], [0, 1, 1]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
OXXOOX X ,7,OXXOOXOX ,"[[2, 1, 1], [2, 2, 1], [0, 1, 0]]","[[2, 1, 1], [2, 2, 1], [2, 1, 0]]"
    X    ,5,    O    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 2, 0], [0, 0, 0]]"
 XX  O  O,1,XXX  O  O,"[[0, 1, 1], [0, 0, 2], [0, 0, 2]]","[[1, 1, 1], [0, 0, 2], [0, 0, 2]]"
 OX   O X,6, OX  XO X,"[[0, 2, 1], [0, 0, 0], [2, 0, 1]]","[[0, 2, 1], [0, 0, 1], [2, 0, 1]]"
   XOOX  ,1,X  XOOX  ,"[[0, 0, 0], [1, 2, 2], [1, 0, 0]]","[[1, 0, 0], [1, 2, 2], [1, 0, 0]]"
O XOXX  O,7,O XOXXX O,"[[2, 0, 1], [2, 1, 1], [0, 0, 2]]","[[2, 0, 1], [2, 1, 1], [1, 0, 2]]"
   X O   ,9,   X O  X,"[[0, 0, 0], [1, 0, 2], [0, 0, 0]]","[[0, 0, 0], [1, 0, 2], [0, 0, 1]]"
 XOOOXX  ,7, XOOOXX  ,"[[0, 1, 2], [2, 2, 1], [1, 0, 0]]","[[0, 1, 2], [2, 2, 1], [1, 0, 0]]"
X OXO    ,7,X OXO X  ,"[[1, 0, 2], [1, 2, 0], [0, 0, 0]]","[[1, 0, 2], [1, 2, 0], [1, 0, 0]]"
OXXXOO X ,9,OXXXOO XO,"[[2, 1, 1], [1, 2, 2], [0, 1, 0]]","[[2, 1, 1], [1, 2, 2], [0, 1, 2]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
  X    XO,1,O X    XO,"[[0, 0, 1], [0, 0, 0], [0, 1, 2]]","[[2, 0, 1], [0, 0, 0], [0, 1, 2]]"
XX O XO  ,3,XXOO XO  ,"[[1, 1, 0], [2, 0, 1], [2, 0, 0]]","[[1, 1, 2], [2, 0, 1], [2, 0, 0]]"
     XO X,3,  O  XO X,"[[0, 0, 0], [0, 0, 1], [2, 0, 1]]","[[0, 0, 2], [0, 0, 1], [2, 0, 1]]"
X    X  O,5,X   OX  O,"[[1, 0, 0], [0, 0, 1], [0, 0, 2]]","[[1, 0, 0], [0, 2, 1], [0, 0, 2]]"
 X  O X  ,3, XO O X  ,"[[0, 1, 0], [0, 2, 0], [1, 0, 0]]","[[0, 1, 2], [0, 2, 0], [1, 0, 0]]"
OXX OXXO ,9,OXX OXXOO,"[[2, 1, 1], [0, 2, 1], [1, 2, 0]]","[[2, 1, 1], [0, 2, 1], [1, 2, 2]]"
XX  O OOX,3,XXX O OOX,"[[1, 1, 0], [0, 2, 0], [2, 2, 1]]","[[1, 1, 1], [0, 2, 0], [2, 2, 1]]"
 OX  XX O,5, OX OXX O,"[[0, 2, 1], [0, 0, 1], [1, 0, 2]]","[[0, 2, 1], [0, 2, 1], [1, 0, 2]]"
X   O   X,1,O   O   X,"[[1, 0, 0], [0, 2, 0], [0, 0, 1]]","[[2, 0, 0], [0, 2, 0], [0, 0, 1]]"
XX   O O ,3,XXX  O O ,"[[1, 1, 0], [0, 0, 2], [0, 2, 0]]","[[1, 1, 1], [0, 0, 2], [0, 2, 0]]"
X XXO OOX,2,XOXXO OOX,"[[1, 0, 1], [1, 2, 0], [2, 2, 1]]","[[1, 2, 1], [1, 2, 0], [2, 2, 1]]"
X OXX OO ,6,X OXXXOO ,"[[1, 0, 2], [1, 1, 0], [2, 2, 0]]","[[1, 0, 2], [1, 1, 1], [2, 2, 0]]"
  OX     ,7,  OX  X  ,"[[0, 0, 2], [1, 0, 0], [0, 0, 0]]","[[0, 0, 2], [1, 0, 0], [1, 0, 0]]"
 XO      ,1,XXO      ,"[[0, 1, 2], [0, 0, 0], [0, 0, 0]]","[[1, 1, 2], [0, 0, 0], [0, 0, 0]]"
  X  O   ,7,  X  OX  ,"[[0, 0, 1], [0, 0, 2], [0, 0, 0]]","[[0, 0, 1], [0, 0, 2], [1, 0, 0]]"
 XXXXOOO ,9, XXXXOOOO,"[[0, 1, 1], [1, 1, 2], [2, 2, 0]]","[[0, 1, 1], [1, 1, 2], [2, 2, 2]]"
 X O O XX,5, X OOO XX,"[[0, 1, 0], [2, 0, 2], [0, 1, 1]]","[[0, 1, 0], [2, 2, 2], [0, 1, 1]]"
OO  X X  ,3,OOX X X  ,"[[2, 2, 0], [0, 1, 0], [1, 0, 0]]","[[2, 2, 1], [0, 1, 0], [1, 0, 0]]"
OXXO X  O,5,OXXOXX  O,"[[2, 1, 1], [2, 0, 1], [0, 0, 2]]","[[2, 1, 1], [2, 1, 1], [0, 0, 2]]"
  X   O  ,3,  X   O  ,"[[0, 0, 1], [0, 0, 0], [2, 0, 0]]","[[0, 0, 1], [0, 0, 0], [2, 0, 0]]"
    O   X,7,    O X X,"[[0, 0, 0], [0, 2, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [1, 0, 1]]"
XX OOXOOX,3,XXXOOXOOX,"[[1, 1, 0], [2, 2, 1], [2, 2, 1]]","[[1, 1, 1], [2, 2, 1], [2, 2, 1]]"
O  X   XO,5,O  XX  XO,"[[2, 0, 0], [1, 0, 0], [0, 1, 2]]","[[2, 0, 0], [1, 1, 0], [0, 1, 2]]"
 XXOXOO X,1,OXXOXOO X,"[[0, 1, 1], [2, 1, 2], [2, 0, 1]]","[[2, 1, 1], [2, 1, 2], [2, 0, 1]]"
  X     O,1,X X     O,"[[0, 0, 1], [0, 0, 0], [0, 0, 2]]","[[1, 0, 1], [0, 0, 0], [0, 0, 2]]"
   OXXOX ,1,O  OXXOX ,"[[0, 0, 0], [2, 1, 1], [2, 1, 0]]","[[2, 0, 0], [2, 1, 1], [2, 1, 0]]"
XOXO OXXO,5,XOXOXOXXO,"[[1, 2, 1], [2, 0, 2], [1, 1, 2]]","[[1, 2, 1], [2, 1, 2], [1, 1, 2]]"
X X OXXOO,2,XOX OXXOO,"[[1, 0, 1], [0, 2, 1], [1, 2, 2]]","[[1, 2, 1], [0, 2, 1], [1, 2, 2]]"
  OOXXXOX,1,O OOXXXOX,"[[0, 0, 2], [2, 1, 1], [1, 2, 1]]","[[2, 0, 2], [2, 1, 1], [1, 2, 1]]"
 XOX XOO ,5, XOXXXOO ,"[[0, 1, 2], [1, 0, 1], [2, 2, 0]]","[[0, 1, 2], [1, 1, 1], [2, 2, 0]]"
X  O     ,5,X  OX    ,"[[1, 0, 0], [2, 0, 0], [0, 0, 0]]","[[1, 0, 0], [2, 1, 0], [0, 0, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
X  X O  O,7,X  X OX O,"[[1, 0, 0], [1, 0, 2], [0, 0, 2]]","[[1, 0, 0], [1, 0, 2], [1, 0, 2]]"
 O X O X ,7, O X OXX ,"[[0, 2, 0], [1, 0, 2], [0, 1, 0]]","[[0, 2, 0], [1, 0, 2], [1, 1, 0]]"
 XOX  X O,6, XOX OX O,"[[0, 1, 2], [1, 0, 0], [1, 0, 2]]","[[0, 1, 2], [1, 0, 2], [1, 0, 2]]"
 X   OX  ,7, X   OO  ,"[[0, 1, 0], [0, 0, 2], [1, 0, 0]]","[[0, 1, 0], [0, 0, 2], [2, 0, 0]]"
XO  OXO X,3,XOX OXO X,"[[1, 2, 0], [0, 2, 1], [2, 0, 1]]","[[1, 2, 1], [0, 2, 1], [2, 0, 1]]"
 O   X   ,1,XO   X   ,"[[0, 2, 0], [0, 0, 1], [0, 0, 0]]","[[1, 2, 0], [0, 0, 1], [0, 0, 0]]"
     OXX ,9,     OXXO,"[[0, 0, 0], [0, 0, 2], [1, 1, 0]]","[[0, 0, 0], [0, 0, 2], [1, 1, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
  X OX   ,9,  X OX  O,"[[0, 0, 1], [0, 2, 1], [0, 0, 0]]","[[0, 0, 1], [0, 2, 1], [0, 0, 2]]"
 X  XX OO,7, X  XXOOO,"[[0, 1, 0], [0, 1, 1], [0, 2, 2]]","[[0, 1, 0], [0, 1, 1], [2, 2, 2]]"
XO X   XO,7,XO X  OXO,"[[1, 2, 0], [1, 0, 0], [0, 1, 2]]","[[1, 2, 0], [1, 0, 0], [2, 1, 2]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
 X     XO,5, X  O  XO,"[[0, 1, 0], [0, 0, 0], [0, 1, 2]]","[[0, 1, 0], [0, 2, 0], [0, 1, 2]]"
 XO     X,5, XO O   X,"[[0, 1, 2], [0, 0, 0], [0, 0, 1]]","[[0, 1, 2], [0, 2, 0], [0, 0, 1]]"
XXOXO  O ,7,XXOXO XO ,"[[1, 1, 2], [1, 2, 0], [0, 2, 0]]","[[1, 1, 2], [1, 2, 0], [1, 2, 0]]"
OXXO OX  ,5,OXXOXOX  ,"[[2, 1, 1], [2, 0, 2], [1, 0, 0]]","[[2, 1, 1], [2, 1, 2], [1, 0, 0]]"
XXO      ,3,XXO      ,"[[1, 1, 2], [0, 0, 0], [0, 0, 0]]","[[1, 1, 2], [0, 0, 0], [0, 0, 0]]"
    OXOXX,3,  O OXOXX,"[[0, 0, 0], [0, 2, 1], [2, 1, 1]]","[[0, 0, 2], [0, 2, 1], [2, 1, 1]]"
O  X   OX,3,O XX   OX,"[[2, 0, 0], [1, 0, 0], [0, 2, 1]]","[[2, 0, 1], [1, 0, 0], [0, 2, 1]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
XX O OX  ,5,XX OOOX  ,"[[1, 1, 0], [2, 0, 2], [1, 0, 0]]","[[1, 1, 0], [2, 2, 2], [1, 0, 0]]"
 O   X   ,3, OX  X   ,"[[0, 2, 0], [0, 0, 1], [0, 0, 0]]","[[0, 2, 1], [0, 0, 1], [0, 0, 0]]"
X O   X  ,4,X OO  X  ,"[[1, 0, 2], [0, 0, 0], [1, 0, 0]]","[[1, 0, 2], [2, 0, 0], [1, 0, 0]]"
      X O,9,      X X,"[[0, 0, 0], [0, 0, 0], [1, 0, 2]]","[[0, 0, 0], [0, 0, 0], [1, 0, 1]]"
  X    O ,9,  X    OX,"[[0, 0, 1], [0, 0, 0], [0, 2, 0]]","[[0, 0, 1], [0, 0, 0], [0, 2, 1]]"
 XX   O  ,1,OXX   O  ,"[[0, 1, 1], [0, 0, 0], [2, 0, 0]]","[[2, 1, 1], [0, 0, 0], [2, 0, 0]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
XX O   O ,3,XXXO   O ,"[[1, 1, 0], [2, 0, 0], [0, 2, 0]]","[[1, 1, 1], [2, 0, 0], [0, 2, 0]]"
O X   O X,6,O X  XO X,"[[2, 0, 1], [0, 0, 0], [2, 0, 1]]","[[2, 0, 1], [0, 0, 1], [2, 0, 1]]"
