Input Board,decision,Output Board,Input Graph,Output Graph
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
 OOOXX  X,1,XOOOXX  X,"[[0, 2, 2], [2, 1, 1], [0, 0, 1]]","[[1, 2, 2], [2, 1, 1], [0, 0, 1]]"
 X     XO,5, X  O  XO,"[[0, 1, 0], [0, 0, 0], [0, 1, 2]]","[[0, 1, 0], [0, 2, 0], [0, 1, 2]]"
 OOX OXX ,1,XOOX OXX ,"[[0, 2, 2], [1, 0, 2], [1, 1, 0]]","[[1, 2, 2], [1, 0, 2], [1, 1, 0]]"
    XO   ,2, X  XO   ,"[[0, 0, 0], [0, 1, 2], [0, 0, 0]]","[[0, 1, 0], [0, 1, 2], [0, 0, 0]]"
XO  O XX ,9,XO  O XXO,"[[1, 2, 0], [0, 2, 0], [1, 1, 0]]","[[1, 2, 0], [0, 2, 0], [1, 1, 2]]"
 OX   OX ,6, OX  XOX ,"[[0, 2, 1], [0, 0, 0], [2, 1, 0]]","[[0, 2, 1], [0, 0, 1], [2, 1, 0]]"
 O  X   X,3, OO X   X,"[[0, 2, 0], [0, 1, 0], [0, 0, 1]]","[[0, 2, 2], [0, 1, 0], [0, 0, 1]]"
O O    XX,2,OXO    XX,"[[2, 0, 2], [0, 0, 0], [0, 1, 1]]","[[2, 1, 2], [0, 0, 0], [0, 1, 1]]"
  O    X ,9,  O    XX,"[[0, 0, 2], [0, 0, 0], [0, 1, 0]]","[[0, 0, 2], [0, 0, 0], [0, 1, 1]]"
  XO     ,1,X XO     ,"[[0, 0, 1], [2, 0, 0], [0, 0, 0]]","[[1, 0, 1], [2, 0, 0], [0, 0, 0]]"
  O X  OX,6,  O XX OX,"[[0, 0, 2], [0, 1, 0], [0, 2, 1]]","[[0, 0, 2], [0, 1, 1], [0, 2, 1]]"
X O      ,4,X OX     ,"[[1, 0, 2], [0, 0, 0], [0, 0, 0]]","[[1, 0, 2], [1, 0, 0], [0, 0, 0]]"
XXOOOX XO,7,XXOOOXXXO,"[[1, 1, 2], [2, 2, 1], [0, 1, 2]]","[[1, 1, 2], [2, 2, 1], [1, 1, 2]]"
OXX   O X,4,OXXO  O X,"[[2, 1, 1], [0, 0, 0], [2, 0, 1]]","[[2, 1, 1], [2, 0, 0], [2, 0, 1]]"
XOOX OOXX,5,XOOXXOOXX,"[[1, 2, 2], [1, 0, 2], [2, 1, 1]]","[[1, 2, 2], [1, 1, 2], [2, 1, 1]]"
 OOX  XOX,1,XOOX  XOX,"[[0, 2, 2], [1, 0, 0], [1, 2, 1]]","[[1, 2, 2], [1, 0, 0], [1, 2, 1]]"
O XO X   ,7,O XO XX  ,"[[2, 0, 1], [2, 0, 1], [0, 0, 0]]","[[2, 0, 1], [2, 0, 1], [1, 0, 0]]"
  O X X  ,9,  O X X O,"[[0, 0, 2], [0, 1, 0], [1, 0, 0]]","[[0, 0, 2], [0, 1, 0], [1, 0, 2]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
XXO O    ,7,XXO O X  ,"[[1, 1, 2], [0, 2, 0], [0, 0, 0]]","[[1, 1, 2], [0, 2, 0], [1, 0, 0]]"
 X  OXO  ,3, XX OXO  ,"[[0, 1, 0], [0, 2, 1], [2, 0, 0]]","[[0, 1, 1], [0, 2, 1], [2, 0, 0]]"
X X    O ,5,X X O  O ,"[[1, 0, 1], [0, 0, 0], [0, 2, 0]]","[[1, 0, 1], [0, 2, 0], [0, 2, 0]]"
O XO  XOX,6,O XO XXOX,"[[2, 0, 1], [2, 0, 0], [1, 2, 1]]","[[2, 0, 1], [2, 0, 1], [1, 2, 1]]"
X OX O   ,9,X OX O  X,"[[1, 0, 2], [1, 0, 2], [0, 0, 0]]","[[1, 0, 2], [1, 0, 2], [0, 0, 1]]"
  O X    ,8,  O X  X ,"[[0, 0, 2], [0, 1, 0], [0, 0, 0]]","[[0, 0, 2], [0, 1, 0], [0, 1, 0]]"
XO  O X  ,8,XO  O XX ,"[[1, 2, 0], [0, 2, 0], [1, 0, 0]]","[[1, 2, 0], [0, 2, 0], [1, 1, 0]]"
OX   X XO,5,OX  OX XO,"[[2, 1, 0], [0, 0, 1], [0, 1, 2]]","[[2, 1, 0], [0, 2, 1], [0, 1, 2]]"
 OO X  XX,1,OOO X  XX,"[[0, 2, 2], [0, 1, 0], [0, 1, 1]]","[[2, 2, 2], [0, 1, 0], [0, 1, 1]]"
XOX XOO  ,9,XOX XOO X,"[[1, 2, 1], [0, 1, 2], [2, 0, 0]]","[[1, 2, 1], [0, 1, 2], [2, 0, 1]]"
     X   ,9,     X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]"
OO XO X X,8,OO XO XXX,"[[2, 2, 0], [1, 2, 0], [1, 0, 1]]","[[2, 2, 0], [1, 2, 0], [1, 1, 1]]"
         ,5, X       ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 0, 0]]"
OOX  X   ,8,OOX  X X ,"[[2, 2, 1], [0, 0, 1], [0, 0, 0]]","[[2, 2, 1], [0, 0, 1], [0, 1, 0]]"
         ,5,       X ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 0]]"
 OO X XX ,9, OO X XXO,"[[0, 2, 2], [0, 1, 0], [1, 1, 0]]","[[0, 2, 2], [0, 1, 0], [1, 1, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
O   XOOXX,2,OX  XOOXX,"[[2, 0, 0], [0, 1, 2], [2, 1, 1]]","[[2, 1, 0], [0, 1, 2], [2, 1, 1]]"
         ,5, X       ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 0, 0]]"
 XX OOX  ,1,OXX OOX  ,"[[0, 1, 1], [0, 2, 2], [1, 0, 0]]","[[2, 1, 1], [0, 2, 2], [1, 0, 0]]"
   X O   ,2, X X O   ,"[[0, 0, 0], [1, 0, 2], [0, 0, 0]]","[[0, 1, 0], [1, 0, 2], [0, 0, 0]]"
   OXO  X,7,   OXOX X,"[[0, 0, 0], [2, 1, 2], [0, 0, 1]]","[[0, 0, 0], [2, 1, 2], [1, 0, 1]]"
XOXO XOX ,9,XOXO XOXO,"[[1, 2, 1], [2, 0, 1], [2, 1, 0]]","[[1, 2, 1], [2, 0, 1], [2, 1, 2]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
 XXXXOO O,8, XXXXOOOO,"[[0, 1, 1], [1, 1, 2], [2, 0, 2]]","[[0, 1, 1], [1, 1, 2], [2, 2, 2]]"
 X     OX,1,OX     OX,"[[0, 1, 0], [0, 0, 0], [0, 2, 1]]","[[2, 1, 0], [0, 0, 0], [0, 2, 1]]"
XX OO   X,3,XXOOO   X,"[[1, 1, 0], [2, 2, 0], [0, 0, 1]]","[[1, 1, 2], [2, 2, 0], [0, 0, 1]]"
XX X OOXO,3,XXOX OOXO,"[[1, 1, 0], [1, 0, 2], [2, 1, 2]]","[[1, 1, 2], [1, 0, 2], [2, 1, 2]]"
       X ,7,      OX ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [2, 1, 0]]"
XX  O    ,3,XXO O    ,"[[1, 1, 0], [0, 2, 0], [0, 0, 0]]","[[1, 1, 2], [0, 2, 0], [0, 0, 0]]"
X  O O XX,5,X  OOO XX,"[[1, 0, 0], [2, 0, 2], [0, 1, 1]]","[[1, 0, 0], [2, 2, 2], [0, 1, 1]]"
 O      X,3, OX     X,"[[0, 2, 0], [0, 0, 0], [0, 0, 1]]","[[0, 2, 1], [0, 0, 0], [0, 0, 1]]"
OO  XXOX ,4,OO XXXOX ,"[[2, 2, 0], [0, 1, 1], [2, 1, 0]]","[[2, 2, 0], [1, 1, 1], [2, 1, 0]]"
 XOXX   O,6, XOXXO  O,"[[0, 1, 2], [1, 1, 0], [0, 0, 2]]","[[0, 1, 2], [1, 1, 2], [0, 0, 2]]"
    OX X ,3,  O OX X ,"[[0, 0, 0], [0, 2, 1], [0, 1, 0]]","[[0, 0, 2], [0, 2, 1], [0, 1, 0]]"
O   XX OX,4,O  OXX OX,"[[2, 0, 0], [0, 1, 1], [0, 2, 1]]","[[2, 0, 0], [2, 1, 1], [0, 2, 1]]"
 X  XOX O,3, XO XOX O,"[[0, 1, 0], [0, 1, 2], [1, 0, 2]]","[[0, 1, 2], [0, 1, 2], [1, 0, 2]]"
     O X ,5,    XO X ,"[[0, 0, 0], [0, 0, 2], [0, 1, 0]]","[[0, 0, 0], [0, 1, 2], [0, 1, 0]]"
  OXOX  X,8,  OXOX OX,"[[0, 0, 2], [1, 2, 1], [0, 0, 1]]","[[0, 0, 2], [1, 2, 1], [0, 2, 1]]"
OXXXOXOO ,9,OXXXOXOOX,"[[2, 1, 1], [1, 2, 1], [2, 2, 0]]","[[2, 1, 1], [1, 2, 1], [2, 2, 1]]"
X  O OOXX,5,X  OXOOXX,"[[1, 0, 0], [2, 0, 2], [2, 1, 1]]","[[1, 0, 0], [2, 1, 2], [2, 1, 1]]"
 O  X X O,6, O  XXX O,"[[0, 2, 0], [0, 1, 0], [1, 0, 2]]","[[0, 2, 0], [0, 1, 1], [1, 0, 2]]"
X OO    X,8,X OO   XX,"[[1, 0, 2], [2, 0, 0], [0, 0, 1]]","[[1, 0, 2], [2, 0, 0], [0, 1, 1]]"
       X ,2, O     X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 0, 0], [0, 1, 0]]"
X OOXXOXO,2,XXOOXXOXO,"[[1, 0, 2], [2, 1, 1], [2, 1, 2]]","[[1, 1, 2], [2, 1, 1], [2, 1, 2]]"
X    XO  ,9,X    XO O,"[[1, 0, 0], [0, 0, 1], [2, 0, 0]]","[[1, 0, 0], [0, 0, 1], [2, 0, 2]]"
    O  X ,7,    O XX ,"[[0, 0, 0], [0, 2, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [1, 1, 0]]"
     OXXO,5,    XOXXO,"[[0, 0, 0], [0, 0, 2], [1, 1, 2]]","[[0, 0, 0], [0, 1, 2], [1, 1, 2]]"
XO O    X,3,XOXO    X,"[[1, 2, 0], [2, 0, 0], [0, 0, 1]]","[[1, 2, 1], [2, 0, 0], [0, 0, 1]]"
X     O  ,3,X X   O  ,"[[1, 0, 0], [0, 0, 0], [2, 0, 0]]","[[1, 0, 1], [0, 0, 0], [2, 0, 0]]"
 XXX  O O,1,OXXX  O O,"[[0, 1, 1], [1, 0, 0], [2, 0, 2]]","[[2, 1, 1], [1, 0, 0], [2, 0, 2]]"
 X       ,3, XO      ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 2], [0, 0, 0], [0, 0, 0]]"
 XOOXX  O,8, XOOXX XO,"[[0, 1, 2], [2, 1, 1], [0, 0, 2]]","[[0, 1, 2], [2, 1, 1], [0, 1, 2]]"
OO XOXOXX,3,OOXXOXOXX,"[[2, 2, 0], [1, 2, 1], [2, 1, 1]]","[[2, 2, 1], [1, 2, 1], [2, 1, 1]]"
 XOX X OO,5, XOXXX OO,"[[0, 1, 2], [1, 0, 1], [0, 2, 2]]","[[0, 1, 2], [1, 1, 1], [0, 2, 2]]"
OXXXO    ,9,OXXXO   O,"[[2, 1, 1], [1, 2, 0], [0, 0, 0]]","[[2, 1, 1], [1, 2, 0], [0, 0, 2]]"
O OXOXXOX,2,OXOXOXXOX,"[[2, 0, 2], [1, 2, 1], [1, 2, 1]]","[[2, 1, 2], [1, 2, 1], [1, 2, 1]]"
X  OXOX O,3,X XOXOX O,"[[1, 0, 0], [2, 1, 2], [1, 0, 2]]","[[1, 0, 1], [2, 1, 2], [1, 0, 2]]"
X X OOXOX,2,XOX OOXOX,"[[1, 0, 1], [0, 2, 2], [1, 2, 1]]","[[1, 2, 1], [0, 2, 2], [1, 2, 1]]"
O    X   ,3,O X  X   ,"[[2, 0, 0], [0, 0, 1], [0, 0, 0]]","[[2, 0, 1], [0, 0, 1], [0, 0, 0]]"
O O XX  X,4,O OOXX  X,"[[2, 0, 2], [0, 1, 1], [0, 0, 1]]","[[2, 0, 2], [2, 1, 1], [0, 0, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
      O X,3,  X   O X,"[[0, 0, 0], [0, 0, 0], [2, 0, 1]]","[[0, 0, 1], [0, 0, 0], [2, 0, 1]]"
O      X ,7,O     XX ,"[[2, 0, 0], [0, 0, 0], [0, 1, 0]]","[[2, 0, 0], [0, 0, 0], [1, 1, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
O      X ,7,O     XX ,"[[2, 0, 0], [0, 0, 0], [0, 1, 0]]","[[2, 0, 0], [0, 0, 0], [1, 1, 0]]"
O OXXOXOX,2,OXOXXOXOX,"[[2, 0, 2], [1, 1, 2], [1, 2, 1]]","[[2, 1, 2], [1, 1, 2], [1, 2, 1]]"
O  XX O  ,8,O  XX OX ,"[[2, 0, 0], [1, 1, 0], [2, 0, 0]]","[[2, 0, 0], [1, 1, 0], [2, 1, 0]]"
  O X  X ,2, OO X  X ,"[[0, 0, 2], [0, 1, 0], [0, 1, 0]]","[[0, 2, 2], [0, 1, 0], [0, 1, 0]]"
X XO OXO ,5,X XOXOXO ,"[[1, 0, 1], [2, 0, 2], [1, 2, 0]]","[[1, 0, 1], [2, 1, 2], [1, 2, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
X   O   X,4,X  OO   X,"[[1, 0, 0], [0, 2, 0], [0, 0, 1]]","[[1, 0, 0], [2, 2, 0], [0, 0, 1]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
O X XX OO,4,O XXXX OO,"[[2, 0, 1], [0, 1, 1], [0, 2, 2]]","[[2, 0, 1], [1, 1, 1], [0, 2, 2]]"
  XO     ,1,X XO     ,"[[0, 0, 1], [2, 0, 0], [0, 0, 0]]","[[1, 0, 1], [2, 0, 0], [0, 0, 0]]"
    X  O ,6,    XX O ,"[[0, 0, 0], [0, 1, 0], [0, 2, 0]]","[[0, 0, 0], [0, 1, 1], [0, 2, 0]]"
X  XOOOX ,3,X XXOOOX ,"[[1, 0, 0], [1, 2, 2], [2, 1, 0]]","[[1, 0, 1], [1, 2, 2], [2, 1, 0]]"
X OXOX   ,7,X OXOXO  ,"[[1, 0, 2], [1, 2, 1], [0, 0, 0]]","[[1, 0, 2], [1, 2, 1], [2, 0, 0]]"
 X X XO O,5, X XOXO O,"[[0, 1, 0], [1, 0, 1], [2, 0, 2]]","[[0, 1, 0], [1, 2, 1], [2, 0, 2]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
OXX    OX,6,OXX  O OX,"[[2, 1, 1], [0, 0, 0], [0, 2, 1]]","[[2, 1, 1], [0, 0, 2], [0, 2, 1]]"
O XOX    ,7,O XOX X  ,"[[2, 0, 1], [2, 1, 0], [0, 0, 0]]","[[2, 0, 1], [2, 1, 0], [1, 0, 0]]"
XOX OOOXX,4,XOXXOOOXX,"[[1, 2, 1], [0, 2, 2], [2, 1, 1]]","[[1, 2, 1], [1, 2, 2], [2, 1, 1]]"
       XO,1,X      XO,"[[0, 0, 0], [0, 0, 0], [0, 1, 2]]","[[1, 0, 0], [0, 0, 0], [0, 1, 2]]"
     X  O,5,    XX  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 2]]","[[0, 0, 0], [0, 1, 1], [0, 0, 2]]"
O OO XXX ,9,O OO XXXX,"[[2, 0, 2], [2, 0, 1], [1, 1, 0]]","[[2, 0, 2], [2, 0, 1], [1, 1, 1]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
     OXX ,9,     OXXO,"[[0, 0, 0], [0, 0, 2], [1, 1, 0]]","[[0, 0, 0], [0, 0, 2], [1, 1, 2]]"
   XO    ,7,   XO X  ,"[[0, 0, 0], [1, 2, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [1, 0, 0]]"
XOOXX OX ,9,XOOXX OXO,"[[1, 2, 2], [1, 1, 0], [2, 1, 0]]","[[1, 2, 2], [1, 1, 0], [2, 1, 2]]"
  OXXOX  ,1,O OXXOX  ,"[[0, 0, 2], [1, 1, 2], [1, 0, 0]]","[[2, 0, 2], [1, 1, 2], [1, 0, 0]]"
XX      O,3,XXO     O,"[[1, 1, 0], [0, 0, 0], [0, 0, 2]]","[[1, 1, 2], [0, 0, 0], [0, 0, 2]]"
         ,5, X       ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 0, 0]]"
   O  X  ,5,   OX X  ,"[[0, 0, 0], [2, 0, 0], [1, 0, 0]]","[[0, 0, 0], [2, 1, 0], [1, 0, 0]]"
O   X XXO,3,O O X XXO,"[[2, 0, 0], [0, 1, 0], [1, 1, 2]]","[[2, 0, 2], [0, 1, 0], [1, 1, 2]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
XO OXO X ,3,XOXOXO X ,"[[1, 2, 0], [2, 1, 2], [0, 1, 0]]","[[1, 2, 1], [2, 1, 2], [0, 1, 0]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
XXOOXOXO ,9,XXOOXOXOX,"[[1, 1, 2], [2, 1, 2], [1, 2, 0]]","[[1, 1, 2], [2, 1, 2], [1, 2, 1]]"
   X     ,7,   X  O  ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [2, 0, 0]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
OX    OX ,5,OX  X OX ,"[[2, 1, 0], [0, 0, 0], [2, 1, 0]]","[[2, 1, 0], [0, 1, 0], [2, 1, 0]]"
     X   ,3,  O  X   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 2], [0, 0, 1], [0, 0, 0]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
      O X,6,     XO X,"[[0, 0, 0], [0, 0, 0], [2, 0, 1]]","[[0, 0, 0], [0, 0, 1], [2, 0, 1]]"
 XO OXXO ,1,XXO OXXO ,"[[0, 1, 2], [0, 2, 1], [1, 2, 0]]","[[1, 1, 2], [0, 2, 1], [1, 2, 0]]"
O OX XXXO,5,O OXOXXXO,"[[2, 0, 2], [1, 0, 1], [1, 1, 2]]","[[2, 0, 2], [1, 2, 1], [1, 1, 2]]"
O  XOXO X,3,O XXOXO X,"[[2, 0, 0], [1, 2, 1], [2, 0, 1]]","[[2, 0, 1], [1, 2, 1], [2, 0, 1]]"
     X   ,4,   O X   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [2, 0, 1], [0, 0, 0]]"
  X   XOO,1,X X   XOO,"[[0, 0, 1], [0, 0, 0], [1, 2, 2]]","[[1, 0, 1], [0, 0, 0], [1, 2, 2]]"
         ,5,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
 X      O,3, XX     O,"[[0, 1, 0], [0, 0, 0], [0, 0, 2]]","[[0, 1, 1], [0, 0, 0], [0, 0, 2]]"
     XO  ,9,     XO X,"[[0, 0, 0], [0, 0, 1], [2, 0, 0]]","[[0, 0, 0], [0, 0, 1], [2, 0, 1]]"
       X ,7,      OX ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [2, 1, 0]]"
O  X  XO ,5,O  XX XO ,"[[2, 0, 0], [1, 0, 0], [1, 2, 0]]","[[2, 0, 0], [1, 1, 0], [1, 2, 0]]"
    X O  ,4,   XX O  ,"[[0, 0, 0], [0, 1, 0], [2, 0, 0]]","[[0, 0, 0], [1, 1, 0], [2, 0, 0]]"
OX   X O ,9,OX   X OX,"[[2, 1, 0], [0, 0, 1], [0, 2, 0]]","[[2, 1, 0], [0, 0, 1], [0, 2, 1]]"
XX OO  X ,3,XXOOO  X ,"[[1, 1, 0], [2, 2, 0], [0, 1, 0]]","[[1, 1, 2], [2, 2, 0], [0, 1, 0]]"
 XXOO OX ,1,XXXOO OX ,"[[0, 1, 1], [2, 2, 0], [2, 1, 0]]","[[1, 1, 1], [2, 2, 0], [2, 1, 0]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
 O   XO X,5, O  XXO X,"[[0, 2, 0], [0, 0, 1], [2, 0, 1]]","[[0, 2, 0], [0, 1, 1], [2, 0, 1]]"
    X    ,3,  O X    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 2], [0, 1, 0], [0, 0, 0]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
XX   O O ,7,XX   OXO ,"[[1, 1, 0], [0, 0, 2], [0, 2, 0]]","[[1, 1, 0], [0, 0, 2], [1, 2, 0]]"
OO  X OXX,3,OOX X OXX,"[[2, 2, 0], [0, 1, 0], [2, 1, 1]]","[[2, 2, 1], [0, 1, 0], [2, 1, 1]]"
OO XOXOXX,3,OOXXOXOXX,"[[2, 2, 0], [1, 2, 1], [2, 1, 1]]","[[2, 2, 1], [1, 2, 1], [2, 1, 1]]"
XXO OOX  ,4,XXOXOOX  ,"[[1, 1, 2], [0, 2, 2], [1, 0, 0]]","[[1, 1, 2], [1, 2, 2], [1, 0, 0]]"
O   XOXX ,3,O O XOXX ,"[[2, 0, 0], [0, 1, 2], [1, 1, 0]]","[[2, 0, 2], [0, 1, 2], [1, 1, 0]]"
XX  XOXOO,3,XXO XOXOO,"[[1, 1, 0], [0, 1, 2], [1, 2, 2]]","[[1, 1, 2], [0, 1, 2], [1, 2, 2]]"
XXO  XO O,4,XXOX XO O,"[[1, 1, 2], [0, 0, 1], [2, 0, 2]]","[[1, 1, 2], [1, 0, 1], [2, 0, 2]]"
 O  X  X ,1,OO  X  X ,"[[0, 2, 0], [0, 1, 0], [0, 1, 0]]","[[2, 2, 0], [0, 1, 0], [0, 1, 0]]"
XXO X XOO,6,XXO XOXOO,"[[1, 1, 2], [0, 1, 0], [1, 2, 2]]","[[1, 1, 2], [0, 1, 2], [1, 2, 2]]"
       X ,2, O     X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 0, 0], [0, 1, 0]]"
    X    ,1,O   X    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[2, 0, 0], [0, 1, 0], [0, 0, 0]]"
    X OOX,6,    XXOOX,"[[0, 0, 0], [0, 1, 0], [2, 2, 1]]","[[0, 0, 0], [0, 1, 1], [2, 2, 1]]"
  XXOXOO ,9,  XXOXOOX,"[[0, 0, 1], [1, 2, 1], [2, 2, 0]]","[[0, 0, 1], [1, 2, 1], [2, 2, 1]]"
 XX OX  O,1,OXX OX  O,"[[0, 1, 1], [0, 2, 1], [0, 0, 2]]","[[2, 1, 1], [0, 2, 1], [0, 0, 2]]"
OO   XXXO,5,OO  XXXXO,"[[2, 2, 0], [0, 0, 1], [1, 1, 2]]","[[2, 2, 0], [0, 1, 1], [1, 1, 2]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
X  O XO  ,3,X XO XO  ,"[[1, 0, 0], [2, 0, 1], [2, 0, 0]]","[[1, 0, 1], [2, 0, 1], [2, 0, 0]]"
  O O XX ,4,  OXO XX ,"[[0, 0, 2], [0, 2, 0], [1, 1, 0]]","[[0, 0, 2], [1, 2, 0], [1, 1, 0]]"
  X      ,5,  X O    ,"[[0, 0, 1], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 2, 0], [0, 0, 0]]"
  OXX OOX,2, XOXX OOX,"[[0, 0, 2], [1, 1, 0], [2, 2, 1]]","[[0, 1, 2], [1, 1, 0], [2, 2, 1]]"
OO XXOX X,3,OOOXXOX X,"[[2, 2, 0], [1, 1, 2], [1, 0, 1]]","[[2, 2, 2], [1, 1, 2], [1, 0, 1]]"
XOXO OXX ,5,XOXOOOXX ,"[[1, 2, 1], [2, 0, 2], [1, 1, 0]]","[[1, 2, 1], [2, 2, 2], [1, 1, 0]]"
X   X OXO,2,XO  X OXO,"[[1, 0, 0], [0, 1, 0], [2, 1, 2]]","[[1, 2, 0], [0, 1, 0], [2, 1, 2]]"
X O   X  ,9,X O   X O,"[[1, 0, 2], [0, 0, 0], [1, 0, 0]]","[[1, 0, 2], [0, 0, 0], [1, 0, 2]]"
X  O O  X,5,X  OXO  X,"[[1, 0, 0], [2, 0, 2], [0, 0, 1]]","[[1, 0, 0], [2, 1, 2], [0, 0, 1]]"
         ,5,       X ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 0]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
 OX   X O,1,XOX   X O,"[[0, 2, 1], [0, 0, 0], [1, 0, 2]]","[[1, 2, 1], [0, 0, 0], [1, 0, 2]]"
OOXXOXX  ,9,OOXXOXX O,"[[2, 2, 1], [1, 2, 1], [1, 0, 0]]","[[2, 2, 1], [1, 2, 1], [1, 0, 2]]"
OXOO XXOX,5,OXOOXXXOX,"[[2, 1, 2], [2, 0, 1], [1, 2, 1]]","[[2, 1, 2], [2, 1, 1], [1, 2, 1]]"
O  OXOXX ,3,O XOXOXX ,"[[2, 0, 0], [2, 1, 2], [1, 1, 0]]","[[2, 0, 1], [2, 1, 2], [1, 1, 0]]"
         ,5,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
OOXXX OXO,6,OOXXXXOXO,"[[2, 2, 1], [1, 1, 0], [2, 1, 2]]","[[2, 2, 1], [1, 1, 1], [2, 1, 2]]"
 XXO  OX ,1,OXXO  OX ,"[[0, 1, 1], [2, 0, 0], [2, 1, 0]]","[[2, 1, 1], [2, 0, 0], [2, 1, 0]]"
XX  OOOXX,4,XX OOOOXX,"[[1, 1, 0], [0, 2, 2], [2, 1, 1]]","[[1, 1, 0], [2, 2, 2], [2, 1, 1]]"
